Year,Series,Units,Type of Product,Value
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.13
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.46
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.01254
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,3.56649
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.047
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,11.387
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.536
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,-0.178
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,5.278
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,4.98
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.056
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00561
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.48
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.101
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.231
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.657
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,4.79637
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,13.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.059
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,4.19397
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.01097
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,5.35626
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.055
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,11.913
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,3.52005
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.06
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.089
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,3.596
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.00974
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,6.503
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.059
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.008
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.295
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00542
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.637
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.081
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.343
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.089
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.003
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.57
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.299
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.009
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.103
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,6.655
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,4.44
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.091
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.21
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.051
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00664
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,4.29082
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,12.796
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.042
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,5.45295
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.01048
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.00897
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,5.44786
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.049
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,12.416
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,3.54699
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.517
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.102
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00675
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.053
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.096
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,3.649
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,6.654
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.005
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.633
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.117
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.002
2021,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.098
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.095
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.296
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,6.1
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,3.382
2022,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,11.104
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Crop residues,0.0
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Grazed biomass and fodder crops,0.00577
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Wood,0.00286
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.00054
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Non-metallic minerals - construction dominant,0.24173
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Coal,0.0003
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Biomass,0.06664
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Crops,0.03534
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Wild catch and harvest,0.00048
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Ferrous ores,0.0037
2010,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",Kilograms per constant USD,Metal ores,0.01082
