Year,Series,Type of Product,Value
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00682
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,5.668
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,3.49803
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.044
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.037
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.374
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.036
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.301
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.005
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.295
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.51274
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.866
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.053
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.045
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.118
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.775
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.06
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.806
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.36752
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.03399
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.51159
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.744
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.126
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.068
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.05
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00616
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,5.566
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.426
