Year,Series,Type of Product,Units,Value
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,Kilograms per constant 2015 United States dollars,0.26132
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,Kilograms per constant 2015 United States dollars,0.15549
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,Kilograms per constant 2015 United States dollars,3e-05
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,Kilograms per constant 2015 United States dollars,0.00035
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,Kilograms per constant 2015 United States dollars,0.00029
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",PET,Kilograms per constant 2015 United States dollars,0.15049
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",CPR,Kilograms per constant 2015 United States dollars,0.0
2012,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FEO,Kilograms per constant 2015 United States dollars,0.00021
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",BIM,Kilograms per constant 2015 United States dollars,0.062
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",WCH,Kilograms per constant 2015 United States dollars,0.00213
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",COL,Kilograms per constant 2015 United States dollars,0.0003
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",ONT,Kilograms per constant 2015 United States dollars,0.0
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",FOF,Kilograms per constant 2015 United States dollars,0.11566
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NFO,Kilograms per constant 2015 United States dollars,0.00013
2013,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2015 United States dollars)",NMM,Kilograms per constant 2015 United States dollars,0.19504
